variant,margin_m,band_m,cohort,threshold,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m,eligible_scenes,lidar_wins,radar_wins,tied_scenes,equal_scene_lidar_percent,equal_scene_radar_percent,equal_scene_difference_pp,min_scene_difference_pp,max_scene_difference_pp,leave_one_scene_out_min_pp,equal_track_lidar_percent,equal_track_radar_percent
aligned,0,300-400,passenger_cars,1,30,5,3,26,3,0,26,3,1,86.66666666666667,10.0,76.66666666666667,301.1243306220302,381.10379670133005,3,1,0,2,50.0,16.666666666666668,33.333333333333336,0.0,100.0,0.0,50.0,30.0
aligned,0,300-400,passenger_cars,3,30,5,3,23,0,0,23,0,7,76.66666666666667,0.0,76.66666666666667,301.1243306220302,381.10379670133005,3,2,0,1,45.65217391304348,0.0,45.65217391304348,0.0,86.95652173913044,25.0,47.391304347826086,0.0
aligned,0,300-400,passenger_cars,5,30,5,3,20,0,0,20,0,10,66.66666666666666,0.0,66.66666666666666,301.1243306220302,381.10379670133005,3,2,0,1,33.09178743961352,0.0,33.09178743961352,0.0,82.6086956521739,8.333333333333332,26.52173913043478,0.0
aligned,0,300-400,forward_vehicles,1,148,27,4,132,21,16,116,5,11,89.1891891891892,14.18918918918919,75.0,301.1243306220302,397.6820703976072,4,4,0,0,77.97679172679173,26.537999037999036,51.43879268879269,21.428571428571423,87.96296296296296,39.26406926406926,72.57495590828924,27.689594356261022
aligned,0,300-400,forward_vehicles,3,148,27,4,126,5,4,122,1,21,85.13513513513513,3.3783783783783785,81.75675675675676,301.1243306220302,397.6820703976072,4,4,0,0,71.55723905723906,5.2398989898989905,66.31734006734007,45.45454545454545,89.81481481481481,58.48484848484848,66.27175830074381,8.465608465608465
aligned,0,300-400,forward_vehicles,5,148,27,4,121,2,1,120,1,26,81.75675675675676,1.3513513513513513,80.4054054054054,301.1243306220302,397.6820703976072,4,4,0,0,65.73713323713324,2.5042087542087543,63.232924482924474,28.57142857142857,89.81481481481481,54.37229437229437,59.320604248140484,4.232804232804233
aligned,0,300-400,all,1,331,75,5,252,23,18,234,5,74,76.13293051359517,6.948640483383686,69.18429003021149,301.03319480211303,397.6820703976072,5,5,0,0,74.9689311274877,8.93970843451434,66.02922269297338,58.06451612903225,75.13513513513513,63.75274458243294,67.35873015873015,10.19047619047619
aligned,0,300-400,all,3,331,75,5,220,5,4,216,1,110,66.46525679758308,1.5105740181268883,64.95468277945619,301.03319480211303,397.6820703976072,5,5,0,0,66.41883811484686,2.5465465465465464,63.87229156830032,53.2258064516129,71.42857142857143,61.983221603232536,56.26418219461698,2.6031746031746024
aligned,0,300-400,all,5,331,75,5,197,2,1,196,1,133,59.516616314199396,0.6042296072507553,58.91238670694865,301.03319480211303,397.6820703976072,5,5,0,0,61.75482144645622,1.219219219219219,60.53560222723699,40.32258064516129,71.42857142857143,57.81235992690338,49.16176673567978,1.5238095238095237
aligned,0,200-400,vehicles,1,504,55,4,427,179,154,273,25,52,84.72222222222221,35.51587301587302,49.2063492063492,200.0481951240057,397.6820703976072,4,4,0,0,81.65700586637342,37.564697851481505,44.09230801489193,25.581395348837212,63.133640552995395,37.74519716885744,73.41125541125541,45.589690809291525
aligned,0,200-400,vehicles,3,504,55,4,409,51,46,363,5,90,81.15079365079364,10.119047619047619,71.03174603174604,200.0481951240057,397.6820703976072,4,4,0,0,77.88835019313834,9.969608085251126,67.91874210788721,51.162790697674424,79.72350230414746,63.983822042467146,70.46468443836865,13.586580086580085
aligned,0,200-400,vehicles,5,504,55,4,393,24,22,371,2,109,77.97619047619048,4.761904761904762,73.21428571428572,200.0481951240057,397.6820703976072,4,4,0,0,73.88139348501721,4.519879969992498,69.36151351502471,54.65116279069767,84.33179723502305,64.37141894169194,67.06546669704564,6.736652236652236
aligned,0,200-400,passenger_cars,1,161,11,4,137,36,27,110,9,15,85.09316770186336,22.36024844720497,62.73291925465839,201.91332212775274,381.10379670133005,4,3,1,0,65.68225321301614,39.64998632759092,26.032266885425216,-100.0,100.0,1.3763558472336186,51.611570247933884,38.55774374665646
aligned,0,200-400,passenger_cars,3,161,11,4,131,0,0,131,0,30,81.36645962732919,0.0,81.36645962732919,201.91332212775274,381.10379670133005,4,3,0,1,62.62161248075069,0.0,62.62161248075069,0.0,92.10526315789474,52.79372892170267,50.06742061765985,0.0
aligned,0,200-400,passenger_cars,5,161,11,4,124,0,0,124,0,37,77.01863354037268,0.0,77.01863354037268,201.91332212775274,381.10379670133005,4,3,0,1,59.57104615517465,0.0,59.57104615517465,0.0,89.47368421052632,49.60350013672409,45.0898941568798,0.0
aligned,0,200-400,forward_vehicles,1,385,42,4,333,156,132,201,24,28,86.49350649350649,40.519480519480524,45.97402597402597,200.0481951240057,397.6820703976072,4,3,0,1,82.36746665941871,46.809229361455394,35.55823729796332,0.0,62.43386243386243,26.599695585996955,74.60884353741497,58.701163512545406
aligned,0,200-400,forward_vehicles,3,385,42,4,322,48,43,279,5,58,83.63636363636363,12.467532467532468,71.16883116883116,200.0481951240057,397.6820703976072,4,4,0,0,78.89244491556136,13.64863285496847,65.24381206059289,37.50000000000001,78.83597883597884,60.7130898021309,71.79615705931495,20.090702947845806
