variant,elevation_deg,band_m,group,tolerance_m,frames,reference_voxels,lidar_supported,lidar_percent,lidar_equal_frame_percent,radar_supported,radar_percent,radar_equal_frame_percent
aligned,20,2-10,nontraversable_label,1.2,20,13362,13298,99.52102978596018,99.49838250641075,5656,42.328992665768595,42.27954391770716
aligned,20,2-10,potential_label,0.4,20,27115,24737,91.22994652406418,91.81064504790942,1174,4.329706804351835,4.587806012861785
aligned,20,2-10,potential_label,0.8,20,27115,26996,99.56112852664577,99.56561746477307,6252,23.057348331182002,23.858876914038376
aligned,20,2-10,potential_label,1.2,20,27115,27091,99.91148810621428,99.90045517966071,12368,45.61312926424488,47.76211983254917
aligned,20,2-10,raised_geometry,0.4,20,5331,4891,91.74638904520728,90.77904036258363,325,6.096417182517351,8.302404572632264
aligned,20,2-10,raised_geometry,0.8,20,5331,5327,99.92496717313824,99.78189149560117,1603,30.06940536484712,31.479143849161904
aligned,20,2-10,raised_geometry,1.2,20,5331,5331,100.0,100.0,3082,57.81279309697993,56.998803936805544
aligned,20,2-10,traversable_label,0.4,20,4786,4387,91.66318428750522,92.00348468885628,185,3.8654408692018385,4.3002665763796415
aligned,20,2-10,traversable_label,0.8,20,4786,4784,99.95821145006268,99.94571567672834,997,20.831592143752612,21.20184949646686
aligned,20,2-10,traversable_label,1.2,20,4786,4785,99.97910572503135,99.96153846153847,2201,45.98829920601755,45.45560668066834
aligned,20,20-30,near_ground_geometry,0.4,12,835,591,70.77844311377245,67.47932305493599,20,2.395209580838323,2.1338352318167657
aligned,20,20-30,near_ground_geometry,0.8,12,835,820,98.20359281437126,95.51249676249677,151,18.08383233532934,16.382196045558146
aligned,20,20-30,near_ground_geometry,1.2,12,835,831,99.52095808383234,97.43589743589745,408,48.862275449101794,43.90598295670613
aligned,20,20-30,nontraversable_label,0.4,20,12758,7368,57.75199874588493,61.53556366295144,456,3.574227935413074,3.8177518172773555
aligned,20,20-30,nontraversable_label,0.8,20,12758,11581,90.77441605267283,92.4279364078103,2228,17.463552280921775,18.07809876306171
aligned,20,20-30,nontraversable_label,1.2,20,12758,12341,96.73146261169462,97.40425306096779,4236,33.202696347389875,32.87198607721041
aligned,20,20-30,potential_label,0.4,19,6127,4075,66.50889505467602,60.899772279768634,214,3.4927370654480168,3.1930455922554244
aligned,20,20-30,potential_label,0.8,19,6127,5907,96.40933572710952,92.5443807248189,987,16.109025624285948,15.351567764810849
aligned,20,20-30,potential_label,1.2,19,6127,6073,99.1186551330178,96.3427113573514,1814,29.60665905010609,28.393623107348933
aligned,20,20-30,raised_geometry,0.4,11,713,345,48.38709677419355,56.91332104009493,65,9.1164095371669,9.588856731308319
aligned,20,20-30,raised_geometry,0.8,11,713,572,80.22440392706872,87.78435919373395,239,33.520336605890606,33.02413380390713
aligned,20,20-30,raised_geometry,1.2,11,713,654,91.72510518934081,95.68612440191387,391,54.83870967741935,49.8926850948058
aligned,20,20-30,traversable_label,0.4,12,1653,998,60.375075620084694,57.67036129766735,78,4.718693284936479,4.972285763232092
aligned,20,20-30,traversable_label,0.8,12,1653,1484,89.7761645493043,88.85258294111674,362,21.89957652752571,22.533385233280285
aligned,20,20-30,traversable_label,1.2,12,1653,1588,96.06775559588627,94.77761500938459,727,43.98064125831821,42.658439415767404
aligned,20,30-40,near_ground_geometry,0.4,7,170,102,60.0,43.263909046172934,6,3.5294117647058822,3.639921722113503
aligned,20,30-40,near_ground_geometry,0.8,7,170,156,91.76470588235294,76.60084208029413,32,18.823529411764707,12.3896499238965
aligned,20,30-40,near_ground_geometry,1.2,7,170,167,98.23529411764706,85.71428571428571,66,38.8235294117647,27.599478147423355
aligned,20,30-40,nontraversable_label,0.4,19,7973,3896,48.86491910196914,51.44097551088866,334,4.189138341903925,3.819187305774623
aligned,20,30-40,nontraversable_label,0.8,19,7973,6700,84.03361344537815,86.47320930063691,1518,19.039257494042392,18.334467412512478
aligned,20,30-40,nontraversable_label,1.2,19,7973,7435,93.25222626363978,94.49326891510975,2879,36.10936912078264,36.42006521272199
